date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:02:51	11224/11224	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2018%20Nov%202020%2007:36:06%20GMT	https://afcofficial.store/wp-includes/js/jquery/jquery-migrate.min.js	/home/abrar/websites/wordpress%20clone/afcofficial.store/wp-includes/js/jquery/jquery-migrate.min.js	(from https://afcofficial.store/)
12:02:52	129/129	---M--	200	added ('OK')	application/javascript	date:Wed,%2012%20Sep%202018%2013:06:04%20GMT	https://afcofficial.store/wp-content/plugins/add-to-any/addtoany.min.js	/home/abrar/websites/wordpress%20clone/afcofficial.store/wp-content/plugins/add-to-any/addtoany.min.js	(from https://afcofficial.store/)
12:02:54	179109/179109	---MCZ	200	added ('OK')	application/json	date:Wed,%2019%20Oct%202022%2005:02:54%20GMT	https://afcofficial.store/wp-json/	/home/abrar/websites/wordpress%20clone/afcofficial.store/wp-json/index.html	(from https://afcofficial.store/)
12:02:55	111921/111921	---MCZ	200	added ('OK')	application/json	date:Wed,%2019%20Oct%202022%2005:02:55%20GMT	https://afcofficial.store/wp-json/wp/v2/pages/15	/home/abrar/websites/wordpress%20clone/afcofficial.store/wp-json/wp/v2/pages/15.json	(from https://afcofficial.store/)
12:02:55	816/816	---M-Z	200	added ('OK')	text/xml	date:Wed,%2019%20Oct%202022%2005:02:55%20GMT	https://afcofficial.store/xmlrpc.php?rsd	/home/abrar/websites/wordpress%20clone/afcofficial.store/xmlrpc0db0.php	(from https://afcofficial.store/)
12:02:56	1045/1045	---M-Z	200	added ('OK')	application/xml	date:Wed,%2019%20Oct%202022%2005:02:56%20GMT	https://afcofficial.store/wp-includes/wlwmanifest.xml	/home/abrar/websites/wordpress%20clone/afcofficial.store/wp-includes/wlwmanifest.xml	(from https://afcofficial.store/)
12:02:57	2339/2339	---M-Z	200	added ('OK')	application/json	date:Wed,%2019%20Oct%202022%2005:02:57%20GMT	https://afcofficial.store/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fafcofficial.store%2F	/home/abrar/websites/wordpress%20clone/afcofficial.store/wp-json/oembed/1.0/embedc270.json	(from https://afcofficial.store/)
12:02:58	2414/2414	---M-Z	200	added ('OK')	text/xml	date:Wed,%2019%20Oct%202022%2005:02:58%20GMT	https://afcofficial.store/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fafcofficial.store%2F&format=xml	/home/abrar/websites/wordpress%20clone/afcofficial.store/wp-json/oembed/1.0/embed2659	(from https://afcofficial.store/)
12:02:59	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2019%20Oct%202022%2005:02:59%20GMT	https://www.googletagmanager.com/gtm.js?id=	/home/abrar/websites/wordpress%20clone/www.googletagmanager.com/gtm.125445.delayed	(from https://afcofficial.store/)
12:03:00	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2019%20Oct%202022%2005:03:00%20GMT	https://sp-ao.shortpixel.ai/client/to_auto,q_glossy,ret_img,w_32,h_32/https://afcofficial.store/wp-content/uploads/2020/11/cropped-Logo-1-32x32.png	/home/abrar/websites/wordpress%20clone/sp-ao.shortpixel.ai/client/to_auto,q_glossy,ret_img,w_32,h_32/https_/afcofficial.store/wp-content/uploads/2020/11/cropped-Logo-1-32x32.13.delayed	(from https://afcofficial.store/)
12:03:01	1240/1240	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Nov%202020%2003:09:04%20GMT	https://afcofficial.store/wp-content/uploads/2020/11/cropped-Logo-1-32x32.png	/home/abrar/websites/wordpress%20clone/afcofficial.store/wp-content/uploads/2020/11/cropped-Logo-1-32x32.png	(from https://afcofficial.store/)
12:03:02	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2019%20Oct%202022%2005:03:02%20GMT	https://sp-ao.shortpixel.ai/client/to_auto,q_glossy,ret_img,w_192,h_192/https://afcofficial.store/wp-content/uploads/2020/11/cropped-Logo-1-192x192.png	/home/abrar/websites/wordpress%20clone/sp-ao.shortpixel.ai/client/to_auto,q_glossy,ret_img,w_192,h_192/https_/afcofficial.store/wp-content/uploads/2020/11/cropped-Logo-1-192x192.png	(from https://afcofficial.store/)
12:03:03	15358/15358	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Nov%202020%2003:09:04%20GMT	https://afcofficial.store/wp-content/uploads/2020/11/cropped-Logo-1-192x192.png	/home/abrar/websites/wordpress%20clone/afcofficial.store/wp-content/uploads/2020/11/cropped-Logo-1-192x192.png	(from https://afcofficial.store/)
12:03:04	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2019%20Oct%202022%2005:03:04%20GMT	https://sp-ao.shortpixel.ai/client/to_auto,q_glossy,ret_img,w_180,h_180/https://afcofficial.store/wp-content/uploads/2020/11/cropped-Logo-1-180x180.png	/home/abrar/websites/wordpress%20clone/sp-ao.shortpixel.ai/client/to_auto,q_glossy,ret_img,w_180,h_180/https_/afcofficial.store/wp-content/uploads/2020/11/cropped-Logo-1-180x180.png	(from https://afcofficial.store/)
