HTTrack3.49-2+libhtsjava.so.2 launched on Wed, 19 Oct 2022 12:02:37 at https://afcofficial.store/ +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/*
(webhttrack -q -%i -w https://afcofficial.store/ -O "/home/abrar/websites/wordpress clone" -n -%P -N0 -s2 -p7 -D -a -K0 -c4 -%k -A25000 -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -%s -%u )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

12:12:53	Warning: 	Retry after error -4 (No data (connection closed)) at link https://afcofficial.store/tag/sop-subarashi-aman-untuk-lambung/feed/ (from https://afcofficial.store/tag/sop-subarashi-aman-untuk-lambung/)
12:12:53	Warning: 	Retry after error -4 (No data (connection closed)) at link https://afcofficial.store/wp-json/wp/v2/tags/47 (from https://afcofficial.store/tag/sop-subarashi-aman-untuk-lambung/)
12:12:53	Warning: 	Retry after error -4 (No data (connection closed)) at link https://afcofficial.store/wp-json/wp/v2/tags/49 (from https://afcofficial.store/tag/sop-subarashi-apakah-aman/)
12:12:55	Warning: 	Retry after error -4 (No data (connection closed)) at link https://afcofficial.store/tag/sop-subarashi-artinya/feed/ (from https://afcofficial.store/tag/sop-subarashi-artinya/)
12:12:56	Warning: 	Retry after error -4 (No data (connection closed)) at link https://afcofficial.store/wp-json/wp/v2/tags/44 (from https://afcofficial.store/tag/sop-subarashi-artinya/)
12:12:57	Warning: 	Retry after error -4 (No data (connection closed)) at link https://afcofficial.store/tag/sop-subarashi-asam-lambung/feed/ (from https://afcofficial.store/tag/sop-subarashi-asam-lambung/)
12:12:58	Warning: 	Retry after error -4 (No data (connection closed)) at link https://afcofficial.store/wp-json/wp/v2/tags/112 (from https://afcofficial.store/tag/sop-subarashi-asam-lambung/)
12:12:58	Warning: 	Retry after error -4 (No data (connection closed)) at link https://afcofficial.store/tag/sop-subarashi-aturan-minum/feed/ (from https://afcofficial.store/tag/sop-subarashi-aturan-minum/)
12:12:59	Warning: 	Retry after error -4 (No data (connection closed)) at link https://afcofficial.store/tag/sop-subarashi-bagus-ga/feed/ (from https://afcofficial.store/tag/sop-subarashi-bagus-ga/)
12:13:00	Warning: 	Retry after error -4 (No data (connection closed)) at link https://afcofficial.store/wp-json/wp/v2/tags/52 (from https://afcofficial.store/tag/sop-subarashi-bali/)
12:13:01	Warning: 	Retry after error -4 (No data (connection closed)) at link https://afcofficial.store/tag/sop-subarashi-bandung/feed/ (from https://afcofficial.store/tag/sop-subarashi-bandung/)
12:13:01	Warning: 	Retry after error -4 (No data (connection closed)) at link https://afcofficial.store/wp-json/wp/v2/tags/31 (from https://afcofficial.store/tag/sop-subarashi-bandung/)
12:13:02	Warning: 	Retry after error -4 (No data (connection closed)) at link https://afcofficial.store/wp-json/wp/v2/tags/55 (from https://afcofficial.store/tag/sop-subarashi-berapa-kali-sehari/)
12:13:03	Warning: 	Retry after error -4 (No data (connection closed)) at link https://afcofficial.store/tag/sop-subarashi-bohong/feed/ (from https://afcofficial.store/tag/sop-subarashi-bohong/)
12:13:04	Warning: 	Retry after error -4 (No data (connection closed)) at link https://afcofficial.store/wp-json/wp/v2/tags/35 (from https://afcofficial.store/tag/sop-subarashi-bohong/)
12:13:05	Warning: 	Retry after error -4 (No data (connection closed)) at link https://afcofficial.store/wp-json/wp/v2/tags/54 (from https://afcofficial.store/tag/sop-subarashi-boleh-untuk-anak/)
